Alabama St.Mississippi St.11-10,11/10/17,"Mississippi St. -30.9, 92-61 (98%)",61.4123086,92.3006464,68,96,343,46,75.02716839,26.40389566
EurekaNorth Texas11-10,11/10/17,North Texas (100%),37.04284181,103.6931533,65,122,0,307,73.07363344,-47.68516589
Kennesaw St.Butler11-10,11/10/17,"Butler -26.2, 90-64 (97%)",63.65048611,89.80269776,64,82,311,36,73.47153332,32.37138847
SienaCollege of Charleston11-10,11/10/17,"College of Charleston -17.9, 82-64 (93%)",64.1948799,82.08624482,60,68,260,71,71.17619223,33.52426471
Bowling GreenDrexel11-10,11/10/17,"Drexel -6.7, 83-76 (70%)",76.10923639,82.81011672,78,69,243,199,77.67222636,44.37212275
LafayetteGeorge Mason11-10,11/10/17,"George Mason -11.5, 83-71 (82%)",71.18108281,82.66635388,65,67,303,190,74.70037522,31.04810423
UMass LowellMassachusetts11-10,11/10/17,"Massachusetts -11.1, 85-74 (81%)",73.96337866,85.07808634,69,74,272,170,78.19361563,37.25409408
VMINorth Carolina St.11-10,11/10/17,"North Carolina St. -27.5, 92-65 (97%)",64.69382783,92.15546583,67,102,344,85,76.6099487,23.41852641
Houston BaptistProvidence11-10,11/10/17,"Providence -25.4, 90-65 (97%)",64.97789556,90.34809904,55,84,292,31,74.51584155,35.96948693
Georgia SouthwesternRadford11-10,11/10/17,Radford (100%),34.22416256,102.0114788,63,72,0,234,69.49328649,-45.78682142
New OrleansSt. John's11-10,11/10/17,"St. John's -21.6, 89-67 (95%)",67.24629388,88.85946033,61,77,297,63,77.15801688,36.89966604
Cal PolyStanford11-10,11/10/17,"Stanford -19.7, 85-65 (94%)",65.31444141,85.01787963,62,78,256,58,71.50981246,35.30419687
CornellSyracuse11-10,11/10/17,"Syracuse -14.8, 83-68 (88%)",68.06787811,82.82607778,45,77,200,72,73.95663934,41.60618513
MarylandStony Brook11-10,11/10/17,"Maryland -16.2, 81-64 (91%)",80.63495184,64.41542749,76,61,27,217,71.49667457,42.38848925
UNC GreensboroVirginia11-10,11/10/17,"Virginia -18.0, 76-58 (94%)",57.68493887,75.70563422,48,60,154,11,65.86629055,42.64017029
East Tennessee St.Northern Kentucky11-10,11/10/17,"Northern Kentucky -4.4, 81-76 (64%)",76.40642545,80.75737349,63,81,134,117,75.48622958,59.14779883
Mo. BaptistSoutheast Missouri St.11-10,11/10/17,Southeast Missouri St. (100%),36.75484151,100.4033024,69,81,0,325,72.76886546,-49.44319616
Miami OHFordham11-10,11/10/17,"Fordham -7.8, 72-64 (77%)",64.02189575,71.8430651,55,54,278,203,71.74025248,34.52475023
MethodistCharlotte11-10,11/10/17,Charlotte (100%),38.02572504,115.0189426,76,116,0,213,76.00636305,-40.40508752
