player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank, ast/tov, rimmade, rimmade+rimmiss, midmade, midmade+midmiss, rimmade/(rimmade+rimmiss), midmade/(midmade+midmiss), dunksmade, dunksmiss+dunksmade, dunksmade/(dunksmade+dunksmiss), pick, drtg,adrtg, dporpag, stops, bpm, obpm, dbpm, gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,,
Ben Shungu,Vermont,AE,33,76.9,116,26.1,60.7,62.34,2.8,15.3,15.6,13.7,72,100,0.72,143,240,0.596,65,156,0.417,0.9,2.5,25.3,Sr,2-Jun,24,3.8587,121.517,2.4,2022,44546,all,,1.25807513,98,146,44,93,0.6712,0.4731,6,7,0.8571,,92.4015,95.5069,3.40107,201.684,5.27743,4.005,1.27242,6.24336,30.6471,4.80578,1.43759,0.6176,3.9706,4.5882,2.2941,1.2059,0.2353,16.2647,Wing G,9.433
Keon Clergeot,Southeastern Louisiana,Slnd,29,72.4,101.7,23.9,50.9,57.74,2.3,7.9,20.3,23.2,107,126,0.849,75,163,0.46,44,114,0.386,0.2,2.1,45.5,Sr,1-Jun,4,1.86302,103.301,3.9,2022,44685,all,41.2,1.07215759,43,88,32,75,0.4886,0.4267,2,2,1,,111.06,114.46,1.34113,140.465,-3.80947,0.0253705,-3.83484,-3.39793,29.1515,-0.691166,-2.70676,0.5455,1.9091,2.4545,3.1515,1.2121,0.0606,12.8788,Scoring PG,7.15927
Bryce Aiken,Seton Hall,BE,15,31.6,119.7,25.9,53.1,60.22,1.6,7.2,22.9,14.3,66,80,0.825,40,75,0.533,24,68,0.353,0,3,55.9,Sr,Jun-00,1,4.31734,133.252,2.5,2022,44711,all,83,1.63994718,30,50,10,25,0.6,0.4,0,0,,,99.6936,95.7717,2.84886,66.2249,6.45705,6.53287,-0.0758225,8.34989,26.2,5.86741,2.48247,0.4,1.7333,2.1333,2.7333,1.3333,0,14.5333,Scoring PG,10.0782
Peter Kiss,Bryant,NEC,27,77.1,103.5,34.7,50.2,54.52,4.3,12,22.1,18.6,138,176,0.784,196,371,0.528,50,169,0.296,0.8,2.6,32.6,Sr,5-Jun,32,4.01349,118.064,2.4,2022,44721,all,,0.76990341,143,220,53,150,0.65,0.3533,33,37,0.8919,,101.355,105.901,2.63522,188.042,0.990716,2.11238,-1.12167,3.22243,35.7037,4.02561,-0.803182,1.4444,4.3333,5.7778,3.2222,1.6667,0.2963,25.1852,Combo G,9.64596
Kevin Marfo,Quinnipiac,MAAC,30,67.6,99.2,26.4,46.9,53.33,13.4,30.1,27.7,27.4,93,130,0.715,98,197,0.497,1,15,0.067,2.6,2.1,61.3,Sr,8-Jun,0,1.9359,105.99,4,2022,44755,all,62.2,1.12150886,95,184,3,13,0.5163,0.2308,10,14,0.7143,,96.9681,100.24,2.54679,195.695,2.82782,-0.189336,3.01716,1.61465,26.8387,0.506837,1.10782,3.0968,7.0968,10.1935,3.871,0.9355,0.6774,9.4194,PF/C,1.07478
Jair Bolden,Butler,BE,22,30.6,98.8,19.3,43.8,48.05,1.5,8.8,5.3,9.2,21,22,0.955,13,36,0.361,29,93,0.312,1.5,1.3,17.1,Sr,3-Jun,52,0.98855,101.783,2,2022,44756,all,37.2,1.38453017,4,6,9,30,0.6667,0.3,0,0,,,106.223,102.185,1.5167,57.7003,0.260553,0.725185,-0.464632,1.11081,18.5,1.247,-0.136191,0.2083,1.375,1.5833,0.75,0.4583,0.25,6.7083,Wing G,15.0181
Colin Slater,Long Beach St.,BW,31,80.2,108.4,21.2,49.7,54.26,0.9,9.5,17.3,12.7,82,97,0.845,82,190,0.432,62,162,0.383,0.3,1.5,27.6,Sr,1-Jun,14,2.81711,110.663,2.4,2022,44757,all,53.6,1.76919665,37,77,45,113,0.4805,0.3982,0,0,,,106.531,106.526,2.32126,161.907,0.229407,2.10617,-1.87676,0.743901,32.1818,1.70368,-0.959782,0.2727,2.5152,2.7879,2.7879,0.8182,0.0909,14.4242,Combo G,9.09485
Joey Brunk,Ohio St.,B10,28,16.7,114.9,15.1,63,65.17,3.7,20.4,5.6,19,10,13,0.769,29,46,0.63,0,0,0,3,1.7,28.3,Sr,11-Jun,50,0.68639,111.244,5.2,2022,44792,all,78.8,0.60011202,9,12,20,34,0.75,0.5882,3,3,1,,99.362,94.2125,0.879504,43.5006,2.2578,0.379597,1.8782,2.59391,7.6786,0.127916,2.46599,0.2143,1.3929,1.6071,0.2143,0.2143,0.2143,2.4286,C,0
Davion Mintz,Kentucky,SEC,31,56,110.4,17.4,47.8,51,3.2,6.8,11.2,13.4,47,67,0.701,42,97,0.433,44,129,0.341,0.6,1.4,29.6,Sr,3-Jun,10,2.34377,112.888,2.7,2022,44793,all,20,1.77419996,24,40,18,57,0.6,0.3158,3,3,1,,101.166,96.3807,2.63916,116.3,4.13979,4.0927,0.0470922,3.117,24.7419,2.30108,0.815919,0.6774,1.5161,2.1935,1.7742,0.6129,0.129,8.4839,Combo G,9.72773
Tyson Jolly,Iona,MAAC,33,83.8,106.2,22.2,49.9,53.18,6.5,9.5,13.6,15.1,93,133,0.699,121,259,0.467,49,131,0.374,2.5,1.2,34.1,Sr,4-Jun,25,2.82768,109.691,2.6,2022,44846,all,67.2,1.15149999,86,154,35,105,0.5584,0.3333,22,26,0.8462,,101.197,101.959,2.95408,178.467,1.76417,1.97716,-0.21299,1.70595,33.7576,2.36098,-0.655027,1.9394,2.8788,4.8182,2.303,0.7273,0.8182,14.6061,Wing G,6.66144
