player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank, ast/tov, rimmade, rimmade+rimmiss, midmade, midmade+midmiss, rimmade/(rimmade+rimmiss), midmade/(midmade+midmiss), dunksmade, dunksmiss+dunksmade, dunksmade/(dunksmade+dunksmiss), pick, drtg,adrtg, dporpag, stops, bpm, obpm, dbpm, gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,,
Lance Jones,Southern Illinois,MVC,29,73.1,94.7,29.9,53.3,54.01,2.6,13.6,16.3,19.6,54,95,0.568,96,172,0.558,61,180,0.339,0.4,4.1,27,Jr,1-Jun,5,2.23288,106.647,3.6,2022,70356,all,,0.6913465,66,107,30,65,0.6168,0.4615,1,1,1,,94.5528,93.7779,3.52492,173.983,2.96056,1.2001,1.76046,3.40407,30.2414,1.22321,2.18085,0.6207,3.069,3.6897,1.931,1.931,0.1034,14.7931,Combo G,13.0093
Amin Adamu,Montana St.,BSky,31,64.9,107.7,21.1,54.7,57.26,2.7,17.5,13.1,16.2,46,57,0.807,122,229,0.533,24,60,0.4,0.9,1.1,19.7,Sr,5-Jun,5,1.84682,104.629,2.9,2022,70357,all,,1.05659677,59,94,63,135,0.6277,0.4667,4,4,1,,101.626,102.394,2.39479,154.096,-0.435967,-0.0430935,-0.392874,0.913521,27.1818,1.1471,-0.233575,0.6667,4.0303,4.697,1.697,0.5758,0.2121,11.3636,Wing G,4.02932
Josh Thomas,Milwaukee,Horz,29,55.2,99,20.9,48.7,50.92,3.8,13.4,10.9,13.6,32,45,0.711,105,208,0.505,5,23,0.217,1,1.8,19.5,Sr,4-Jun,24,0.908149,96.4646,1.7,2022,70358,all,,0.96968099,50,83,54,124,0.6024,0.4355,4,4,1,,105.838,108.611,1.5352,121.92,-4.10094,-2.49179,-1.60915,-2.06061,23.5862,-0.956527,-1.10408,0.7586,3,3.7586,1.1034,0.7241,0.2069,8.8621,Wing G,1.98722
Oton Jankovic,Tulane,Amer,9,2.3,68.3,8.1,0,33.9,4.4,12.2,0,26.4,2,2,1,0,2,0,0,0,0,13.7,2.1,100,So,10-Jun,10,-0.305179,56.0526,10.4,2022,70359,all,23,0,0,1,0,1,0,0,0,0,,,97.6608,95.304,0.333792,6.09595,0.507108,-5.83722,6.34433,-5.56568,3,-8.4313,2.86562,0.1111,0.3333,0.4444,0,0.1111,0.3333,0.2222,C,0
Mahamadou Diawara,Stetson,ASun,25,42.3,92.4,22.3,44.7,49.84,12.6,24.7,7.9,23.4,41,62,0.661,51,114,0.447,0,0,0,2.7,1.2,54.4,Jr,10-Jun,15,0.458282,92.8491,6,2022,70360,all,,0.43481277,40,87,15,35,0.4598,0.4286,13,18,0.7222,,104.937,105.688,1.32822,86.5178,-5.09398,-4.4841,-0.609881,-5.92391,18.069,-4.63976,-1.28415,2.3103,3.7241,6.0345,0.6897,0.3448,0.3793,6.1724,C,0
De'Vion Harmon,Oregon,P12,34,78.2,103.7,18.4,48.9,51.84,1.5,8.1,11.7,14.9,57,78,0.731,80,179,0.447,49,135,0.363,0.1,2.5,24.8,Jr,2-Jun,5,2.25967,106.194,2,2022,70362,all,90.8,1.41177682,51,97,29,82,0.5258,0.3537,0,0,,,104.586,100.345,2.93227,176.454,2.58754,2.05173,0.535813,2.12236,31.4,1.19004,0.932323,0.4,2.2286,2.6286,2.0571,1.3143,0.0857,10.7714,Combo G,7.38109
Victor Iwuakor,UNLV,MWC,19,20.9,103.4,11.7,41.7,47.14,10.4,8.4,4.3,15.8,12,18,0.667,15,30,0.5,0,6,0,4.8,3,50,Jr,7-Jun,0,0.444912,94.7744,7.7,2022,70363,all,69.8,0.74994067,9,12,6,18,0.75,0.3333,1,2,0.5,,97.7968,95.9966,1.48394,51.2202,4.93587,0.210484,4.72539,0.00341696,13.6316,-3.14999,3.1534,1.2632,1,2.2632,0.3158,0.6842,0.5263,2.2105,PF/C,1.38244
Jalen Hill,Oklahoma,B12,35,75.4,114.3,16.1,59.9,64.07,7,17.4,9.2,20.4,84,111,0.757,106,158,0.671,8,39,0.205,1.5,1.8,56.3,Jr,6-Jun,1,3.18019,115.775,2.9,2022,70364,all,72.6,0.87930726,99,138,7,20,0.7174,0.35,14,15,0.9333,,97.0989,92.4905,3.64785,196.608,6.18239,2.93377,3.24863,4.51148,30.5714,2.28575,2.22573,1.5714,4.2857,5.8571,1.4571,0.9143,0.4,9.1429,Wing G,2.20156
Gabe Arizin,Richmond,A10,1,0.1,0,0,0,0,0,118.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jr,4-Jun,34,-0.318788,-6.50124,0,2022,70365,all,,,,,,,,,,,,,69.8293,71.0969,0.195263,0.419448,-22.008,-16.148,-5.86001,-4.69136,1,-12.7195,8.02814,0,1,1,0,0,0,0,PF/C,0
Wyatt Hollmann,Stetson,ASun,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jr,7-Jun,33,-0.28566,-7.2446,40,2022,70367,all,,,,,,,,,,,,,113.321,120.017,0.0226764,0.130883,-6.50396,-4.25476,-2.24919,-28.2148,3,-28.6504,0.435622,0.5,0.5,1,0,0,0,0,PF/C,0
Ellis Jefferson,Lamar,WAC,19,34,75.9,16.2,37.5,43.93,2.1,12.6,19.3,34.9,17,21,0.81,18,50,0.36,4,14,0.286,0.3,1.6,32.8,Sr,Jun-00,3,-0.891772,72.0637,2.3,2022,70368,all,,1.02498945,12,24,6,26,0.5,0.2308,0,0,,,111.907,114.255,0.878941,57.7053,-8.28792,-5.95471,-2.3332,-7.97086,20.0952,-5.38321,-2.58765,0.381,2.1905,2.5714,1.9524,0.5714,0.0476,3.6667,Combo G,2.25758
Toumani Camara,Dayton,A10,34,65.6,97.8,24.8,54.9,55.84,8.7,22,12.2,24.1,55,93,0.591,125,223,0.561,22,65,0.338,3.3,1.9,32.3,So,8-Jun,2,1.86764,105.311,4,2022,70370,all,79.4,0.606739,91,129,34,94,0.7054,0.3617,28,30,0.9333,,91.7352,90.5259,3.45038,190.897,3.49671,0.0253516,3.47136,2.59888,27.0882,0.400858,2.19802,1.7941,5.0588,6.8529,1.5882,0.8235,0.7647,10.9118,PF/C,4.36294
Sahvir Wheeler,Kentucky,SEC,30,68.3,104,22.4,47.1,50.33,2.3,7,35.5,25.1,46,59,0.78,104,220,0.473,16,52,0.308,0.2,2,21.7,Jr,9-May,2,2.96556,112.989,3,2022,70372,all,80,2.27475036,67,109,37,111,0.6147,0.3333,0,0,,,99.9184,96.4799,3.31649,151.075,2.02289,2.3931,-0.370207,2.46767,31.2,1.82695,0.640723,0.6,1.9667,2.5667,6.9,1.1,0.0667,10.0667,Pure PG,3.21508
Tyrese Jenkins,Norfolk St.,MEAC,27,59.4,108.9,14.3,51.3,52.78,4.7,14,12.7,15.5,18,27,0.667,36,62,0.581,28,90,0.311,1.9,0.6,17.8,Jr,6-Jun,5,1.03779,97.5114,3.7,2022,70375,all,,1.63329995,25,31,11,31,0.8065,0.3548,9,11,0.8182,,97.7187,104.824,1.92678,118.989,0.180435,0.638307,-0.457873,-0.549874,24.0667,-0.286161,-0.263713,0.9667,3.4,4.3667,1.6333,0.2667,0.3333,6.6,Stretch 4,7.68908
Donovan Gregory,Appalachian St.,SB,31,78,105.1,21.8,49.6,52.6,6.6,15.5,20.5,16.3,69,106,0.651,134,267,0.502,0,3,0,1.5,2.5,39.3,Jr,5-Jun,11,2.40571,107.592,3.3,2022,70376,all,44.6,1.66662697,74,136,60,131,0.5441,0.458,19,19,1,,98.3645,98.1077,3.16757,186.579,3.04189,0.331618,2.71027,2.45681,29.9706,0.484723,1.97209,1.8824,3.9118,5.7941,2.7941,1.2941,0.3824,10.8824,Wing G,0.190247
Doug Edert,Saint Peter's,MAAC,31,59.9,127.4,16.2,59.2,65.28,1.1,10.6,8.1,11.3,77,87,0.885,45,84,0.536,45,106,0.425,0.5,1.4,45.8,Jr,2-Jun,25,2.88214,120.023,2.2,2022,70379,all,,1.21741466,26,41,19,43,0.6341,0.4419,0,0,,,98.0139,98.7032,2.38407,115.203,3.20545,3.15099,0.0544525,4.69661,24.1613,3.58535,1.11126,0.2258,2.2258,2.4516,0.9032,0.5484,0.0968,9.7419,Wing G,8.42126
Hassan Drame,Saint Peter's,MAAC,31,52.5,105.6,16.8,53.9,57.24,11.5,18.4,7.5,22.1,37,51,0.725,65,119,0.546,7,21,0.333,2.4,2.5,36.4,Jr,7-Jun,14,1.08971,100.328,5.4,2022,70380,all,,0.58133652,55,93,10,26,0.5914,0.3846,6,8,0.75,,90.9417,91.5813,2.60683,136.383,3.50176,0.383663,3.1181,1.96169,21.2812,-0.25195,2.21364,2.0938,3.4375,5.5312,0.7812,0.875,0.4062,5.9688,PF/C,1.90352
Ja'Darius Harris,North Carolina Central,MEAC,19,14.6,84.8,17.5,39.3,42.58,4.3,4.5,15.1,24.1,6,8,0.75,12,19,0.632,3,23,0.13,0.8,2.8,19,Jr,2-Jun,1,-0.117767,81.2853,3.8,2022,70383,all,,1.23083429,7,13,6,7,0.5385,0.8571,0,0,,,103.481,109.778,0.507336,27.1542,-5.31637,-2.80033,-2.51604,-4.44773,9.6364,-3.16367,-1.28406,0.4091,0.5455,0.9545,0.7273,0.6364,0.0909,3.0909,Combo G,8.09464
Emmanuel Tshimanga,UC Irvine,BW,23,26.4,104.8,17.8,60,61.17,14.7,21.7,4.4,25.6,15,24,0.625,27,44,0.614,0,1,0,0.9,0.5,53.3,So,Jul-00,25,0.593703,101.563,8.4,2022,70385,all,,0.2631579,23,34,4,10,0.6765,0.4,0,1,0,,94.7349,95.8129,1.15687,43.946,-1.59927,-1.28579,-0.313474,-2.68348,10.64,-3.11362,0.430144,1.28,2.04,3.32,0.2,0.12,0.12,3.44,C,0.252724
Isaiah Lee,UC Irvine,BW,23,44.5,81.7,13.7,42.3,46.98,2.4,7.8,9.7,30.8,15,20,0.75,8,21,0.381,13,44,0.295,0.5,2.1,30.8,Jr,2-Jun,5,-0.699015,74.0403,3.2,2022,70386,all,,0.96774197,5,8,3,13,0.625,0.2308,0,0,,,97.763,98.8754,1.75819,64.6666,-0.910765,-2.44536,1.53459,-2.50459,18.12,-3.8327,1.3281,0.32,1.16,1.48,1.2,0.68,0.12,3.36,Combo G,6.59695
Ofure Ujadughele,UC Irvine,BW,23,29.1,79.1,14.2,39.2,38.22,10.6,14.1,12.7,30.6,4,13,0.308,13,30,0.433,1,7,0.143,0,3.4,35.1,So,5-Jun,10,-0.529943,72.2619,6,2022,70388,all,,1,7,13,6,17,0.5385,0.3529,0,0,,,92.2804,93.3304,1.37627,53.4068,0.840308,-2.38933,3.22964,-2.59667,12.32,-5.22764,2.63097,1.08,1.76,2.84,1,0.76,0,1.96,Wing G,1.60493
Matt Johnson,Detroit,Horz,28,61.6,104.8,17.4,49.1,52.94,5.9,12,11.4,19.2,34,42,0.81,36,88,0.409,31,80,0.388,1.2,2.1,25,Sr,4-Jun,13,1.15627,98.4177,4,2022,70389,all,,1.19514783,20,42,16,46,0.4762,0.3478,1,1,1,,108.821,110.973,1.45279,119.797,-1.00071,0.00551806,-1.00623,-2.35056,25.5517,-1.04054,-1.31002,1.2414,2.5172,3.7586,1.6897,0.8966,0.2414,7.3793,Wing G,6.88029
Ja'Shonte Wright-McLeish,Maine,AE,26,71.5,101.8,15,50.6,52.15,1.7,7.7,12.7,13.6,18,25,0.72,40,81,0.494,33,96,0.344,0.9,1.8,14.1,Jr,4-Jun,2,0.634239,91.756,3.2,2022,70390,all,,1.75007769,16,25,24,56,0.64,0.4286,0,0,,,114.515,117.728,0.95727,105.514,-3.76585,-0.597571,-3.16828,-4.47304,27.7931,-2.04608,-2.42696,0.4138,1.6207,2.0345,1.6897,0.9655,0.2069,7.4483,Combo G,7.83991
Robert Carpenter,Mississippi Valley St.,SWAC,13,34.3,96.2,27.5,45.1,49.47,5.6,11.6,4.5,10.7,40,49,0.816,49,114,0.43,25,78,0.321,3.3,1.4,25.5,Jr,7-Jun,21,1.97326,104.36,3.1,2022,70391,all,,0.33335398,33,58,16,56,0.569,0.2857,3,4,0.75,,112.826,116.285,1.15159,66.5543,-4.6747,-0.214974,-4.45973,-0.75483,30.2308,2.7734,-3.52823,1.6923,2.8462,4.5385,0.5385,0.7692,1,16.3846,Wing F,10.907
Cole Bajema,Washington,P12,32,48.1,96.7,15,43.7,47.82,1.9,9.2,4.8,13.4,34,46,0.739,21,63,0.333,32,95,0.337,0.8,1.2,29.1,Jr,7-Jun,22,0.494823,92.779,2.9,2022,70392,all,77.6,0.72727273,14,30,7,33,0.4667,0.2121,0,0,,,106.694,102.982,1.62836,92.0282,-1.43579,-0.579771,-0.85602,-1.80434,19.4688,-1.17615,-0.628197,0.3438,1.5312,1.875,0.5,0.4062,0.1562,5.375,Wing G,8.68943
Ata Turgut,Maine,AE,24,33.8,88.2,16.3,45.9,49.63,2.6,9.8,13.4,24.5,13,16,0.813,22,48,0.458,8,26,0.308,1.3,1.4,21.6,So,9-Jun,4,-0.223665,80.9613,5.4,2022,70393,all,,1.28005184,13,32,9,16,0.4063,0.5625,0,0,,,114.284,118.15,0.467832,50.3841,-7.68829,-4.28276,-3.40553,-7.74179,14.7778,-5.26858,-2.47321,0.4074,1.1481,1.5556,1.1852,0.3704,0.1481,3.3333,Wing F,4.49161
Trevin Knell,BYU,WCC,32,48.6,105.3,15.7,52.8,53.72,1.1,8.9,8.5,14.7,13,19,0.684,30,62,0.484,43,117,0.368,0.3,0.8,10.6,Jr,5-Jun,21,1.14029,102.271,3.3,2022,70397,all,33.6,1.35998911,8,15,22,47,0.5333,0.4681,0,0,,,102.849,99.8792,1.85452,97.3455,0.791345,1.21428,-0.42294,0.578621,19.6765,0.204591,0.37403,0.1765,1.5882,1.7647,1,0.2647,0.0588,6.5588,Wing G,10.7693
Gage Bobe,Evansville,MVC,22,24.5,72.5,11.4,34.2,39.19,0.8,9.3,8,20.9,9,14,0.643,4,8,0.5,6,30,0.2,0,1.3,36.8,Jr,Jun-00,0,-0.982379,63.2814,2.9,2022,70398,all,,1.36357929,2,4,2,4,0.5,0.5,0,0,,,112.168,111.285,0.715349,39.5928,-7.82017,-5.74572,-2.07445,-9.01652,13.6087,-6.84243,-2.17408,0.087,0.8696,0.9565,0.6522,0.2609,0,1.5217,Wing G,6.46656
Braelen Bridges,Georgia,SEC,32,72,111.3,21.8,63.4,66,7.5,15.3,15.4,22.5,91,124,0.734,161,254,0.634,0,0,0,1.5,0.7,48.8,Sr,11-Jun,23,3.48433,120.219,3,2022,70400,all,,0.75947827,99,127,62,127,0.7795,0.4882,4,4,1,,113.986,110.125,1.72404,149.687,1.99848,2.74035,-0.741868,2.02712,28.8125,3.29538,-1.26826,1.7812,3.8125,5.5938,1.875,0.3438,0.4062,12.9062,C,0
Jaylin Hunter,Old Dominion,CUSA,31,85.9,100.2,17.9,45.7,50.28,1.9,10.6,22.7,21.1,56,66,0.848,61,147,0.415,40,118,0.339,1.1,2.7,24.9,So,Jun-00,12,1.40588,97.165,2.5,2022,70401,all,,1.85511554,31,57,30,90,0.5439,0.3333,1,2,0.5,,102.78,102.536,2.95995,186.531,1.12859,0.712676,0.415917,0.779714,34.375,-0.195897,0.97561,0.5938,3.1562,3.75,4,1.5312,0.2812,9.6875,Scoring PG,6.64087
Trenton Massner,Western Illinois,Sum,30,90.4,106.4,24.1,49.8,51.96,2,18.4,21.3,14,64,90,0.711,133,277,0.48,60,171,0.351,1.7,2.9,20.1,Jr,2-Jun,5,2.62929,106.321,2.6,2022,70405,all,,1.8143086,78,140,55,137,0.5571,0.4015,9,13,0.6923,,102.651,102.705,3.09504,237.032,2.19196,1.16119,1.03077,2.91057,36.0625,1.85756,1.05302,0.6875,5.5312,6.2188,3.9688,1.8125,0.5938,16.375,Combo G,8.61202
Jovan Zelenbaba,Northwestern St.,Slnd,28,40.1,80.5,19.1,42.9,45.3,2.8,9.8,12.1,27,15,20,0.75,26,68,0.382,21,66,0.318,0.6,1.8,14.9,So,4-Jun,15,-0.43133,77.8837,4.1,2022,70406,all,,0.72225734,18,36,8,32,0.5,0.25,3,4,0.75,,113.901,115.522,0.682698,76.988,-6.56395,-3.76482,-2.79913,-7.77276,16.871,-4.78695,-2.98581,0.4516,1.6774,2.129,1.2581,0.5806,0.0968,4.9032,Wing G,7.73971
Robert Chougkaz,Northwestern St.,Slnd,26,21.2,96.5,14.4,42.4,45.93,7.9,16.7,5.6,15.4,9,11,0.818,16,35,0.457,6,24,0.25,2.8,0.4,18.6,So,9-Jun,34,0.0378375,86.521,2.9,2022,70408,all,,0.9167055,10,16,6,19,0.625,0.3158,0,0,,,113.203,114.58,0.419865,42.1682,-4.90782,-2.34923,-2.55859,-4.90333,9.6071,-2.11077,-2.79256,0.7143,1.5357,2.25,0.3929,0.1786,0.3214,2.3214,PF/C,5.32354
Mika Adams-Woods,Cincinnati,Amer,32,68.4,102.6,19.4,40.9,45.88,2.1,8.2,22.2,11.7,56,66,0.848,62,149,0.416,34,127,0.268,0.5,1.6,23.9,Jr,3-Jun,23,1.90602,105.457,2.1,2022,70410,all,51.4,2.80557356,51,110,11,39,0.4636,0.2821,0,0,,,101.095,99.4554,2.64848,135.321,1.47256,1.37929,0.0932696,1.31109,27.3636,0.47912,0.831969,0.5455,2.0909,2.6364,3.0606,0.7576,0.1212,8.6061,Scoring PG,8.49409
Robby Robinson,New Orleans,Slnd,6,13.2,81.6,11.3,32.1,34.54,6,19.1,9.5,18.2,2,2,1,9,27,0.333,0,1,0,3.5,1.4,7.1,Jr,8-Jun,1,-1.31138,70.7394,2.1,2022,70411,all,,1.57140005,1,8,8,19,0.125,0.4211,0,0,,,100.807,98.2489,2.61034,32.659,-3.20474,-4.60201,1.39727,-2.93342,25.1429,-2.63416,-0.299256,1.5714,4.5714,6.1429,1.5714,0.7143,0.7143,3.4286,C,0.344586
Kane Milling,UC Davis,BW,22,70.8,104.5,12.9,52.7,54.69,1.5,12,8.4,16,16,21,0.762,29,59,0.492,26,70,0.371,0.4,2,16.3,So,4-Jun,0,0.620133,91.6748,1.9,2022,70413,all,,1.25,17,26,12,33,0.6538,0.3636,1,1,1,,99.5722,102.249,2.47021,110.774,0.511293,-0.443906,0.955199,0.175561,27.875,-0.927249,1.10281,0.4167,2.875,3.2917,1.25,0.9167,0.0833,7,Wing G,6.57799
Zane Meeks,San Francisco,WCC,26,27.6,107.3,18.6,47.2,48.48,7.4,11.1,8.2,10,12,19,0.632,13,28,0.464,30,95,0.316,2.8,0.5,15.4,So,9-Jun,5,1.20488,110.154,4.6,2022,70414,all,,1.50022499,11,19,2,9,0.5789,0.2222,3,3,1,,100.082,96.3065,1.51003,57.077,2.09035,2.27152,-0.181167,0.821043,14,1.33365,-0.512606,0.8889,1.3704,2.2593,0.6667,0.1111,0.3704,5.037,PF/C,14.7077
David Skogman,Buffalo,MAC,28,61.2,129.1,14.2,69.6,71.65,8.5,18.6,6.8,20.6,34,41,0.829,67,90,0.744,24,58,0.414,1.5,1.2,27.7,So,10-Jun,42,2.60702,116.079,3.1,2022,70415,all,45.4,0.83333333,50,67,17,23,0.7463,0.7391,13,13,1,,102.306,102.874,2.07934,129.843,2.68227,2.51312,0.169151,2.56087,24.2414,2.40309,0.157774,1.931,4.4138,6.3448,1.0345,0.5172,0.4138,8.2759,Stretch 4,4.70052
Ben Roderick,Ohio,MAC,32,57.9,94.2,16.8,41.6,44.89,3.9,10.9,5.9,11.4,41,63,0.651,47,93,0.505,28,121,0.231,0.4,1.4,29.4,Jr,5-Jun,3,0.170183,87.3627,3.4,2022,70418,all,50.8,1.03845669,43,80,4,13,0.5375,0.3077,0,0,,,102.488,103.549,2.03273,126.554,-3.72493,-2.23922,-1.48571,-4.28231,24.6364,-3.43206,-0.850248,0.9091,2.1515,3.0606,0.8182,0.6364,0.0909,6.7879,Wing G,8.9134
Lunden McDay,Ohio,MAC,5,7.1,127,11.8,57.5,61.27,3.4,3.8,1.9,5.1,5,6,0.833,4,9,0.444,5,11,0.455,0,1.2,30,Jr,3-Jun,15,1.76295,111.83,2.1,2022,70420,all,,1,4,5,0,4,0.8,0,0,0,,,105.545,102.945,1.62719,13.1553,-2.28867,0.0474636,-2.33613,-1.21935,19.2,-0.666428,-0.552918,0.6,0.6,1.2,0.2,0.4,0,5.6,Wing G,6.60801
Jaxon Brenchley,Utah,P12,27,22.8,110.3,13.9,48.2,50.83,5.5,7.8,12.4,10.5,15,25,0.6,24,42,0.571,2,14,0.143,1.1,2.7,44.6,Jr,5-Jun,5,0.673829,103.936,3.5,2022,70421,all,25,2.57115319,24,39,0,3,0.6154,0,0,0,,,104.826,101.909,0.923965,49.7888,2.51601,1.71529,0.800728,1.85689,10.5556,0.0186778,1.83821,0.5185,0.7407,1.2593,0.6667,0.4815,0.1111,2.5556,Combo G,2.91332
Eli Ballstaedt,Utah,P12,16,6.4,105.8,14.6,45.2,47.84,1.4,2.8,14.6,10.1,2,2,1,2,5,0.4,5,16,0.313,1.3,0.7,9.5,Jr,5-Jun,13,0.27039,101.197,7,2022,70424,all,,3,2,4,0,1,0.5,0,0,0,,,110.692,106.749,0.352242,10.3924,-2.35874,0.829473,-3.18821,-3.52599,5,-2.39817,-1.12782,0.0625,0.125,0.1875,0.375,0.0625,0.0625,1.3125,Scoring PG,11.8614
Kobe Langley,UNC Greensboro,SC,31,65.1,99.2,20.8,46.8,48.8,2.4,11.4,24.5,20.7,27,38,0.711,51,116,0.44,39,118,0.331,0.4,4,16.2,Jr,1-Jun,3,1.14733,98.0661,3.1,2022,70425,all,39.2,1.68425776,33,64,19,53,0.5156,0.3585,4,5,0.8,,99.6009,97.7839,2.67322,158.392,2.1681,0.608272,1.55983,1.68051,26.2812,-0.784321,2.46483,0.5312,2.4062,2.9375,3,1.625,0.0625,7.875,Scoring PG,9.23312
Eli Lawrence,Middle Tennessee,CUSA,33,66.4,103.6,21,48.7,51.47,4.6,14,7.3,13.2,51,69,0.739,72,153,0.471,54,161,0.335,1.8,2.9,22,So,5-Jun,5,1.72496,104.101,3.8,2022,70426,all,10.2,0.78574997,57,90,15,63,0.6333,0.2381,21,22,0.9545,,96.2823,96.4077,2.85144,175.232,1.71281,0.921303,0.791511,1.97374,26.2286,0.857099,1.11664,0.9714,3.2571,4.2286,0.9429,1.3429,0.4286,10.7143,Wing G,10.6471
Josh Kunen,San Francisco,WCC,33,49.2,103.8,12.3,50,51.79,4.5,14.6,6.5,17.6,22,36,0.611,24,39,0.615,24,81,0.296,1.7,1.7,30,So,8-Jun,10,0.695901,95.5574,4.8,2022,70429,all,,1.07996734,20,28,4,11,0.7143,0.3636,2,2,1,,97.0772,93.6329,2.30415,117.795,2.9366,0.638551,2.29805,1.40241,19.7059,-0.84554,2.24795,0.7647,2.5588,3.3235,0.7941,0.5882,0.3235,4.2647,Stretch 4,7.03476
Shamar Wright,SIU Edwardsville,OVC,30,74,98.2,19.6,48.6,51.84,4.5,12.9,12.2,19.3,66,101,0.653,76,152,0.5,31,100,0.31,2.6,1.8,40.1,So,7-Jun,4,1.08378,95.9213,4.1,2022,70430,all,,0.92061156,53,91,23,61,0.5824,0.377,6,7,0.8571,,103.741,105.926,2.20217,162.067,-1.27243,-1.1427,-0.129724,-1.40001,29.4062,-0.912812,-0.487193,1.2188,3.375,4.5938,1.8125,1,0.6875,9.9688,Wing F,6.40899
Mickey Pearson Jr.,Ball St.,MAC,26,27.6,82.3,20.6,40.2,44.33,4.4,13.7,8.1,21.8,24,38,0.632,27,62,0.435,8,35,0.229,2.5,1.7,39.2,Jr,7-Jun,14,-0.219055,80.4396,3,2022,70432,all,20.2,0.51849997,13,26,14,36,0.5,0.3889,2,2,1,,107.719,109.517,0.793371,62.2155,-6.1664,-4.71893,-1.44746,-5.71408,12.7778,-3.84506,-1.86902,0.4815,1.6667,2.1481,0.5185,0.3704,0.2593,3.9259,Wing F,5.83352
Yuri Collins,Saint Louis,A10,33,80.7,99.9,24.3,48.3,53.83,0.8,12.9,42.9,29.7,88,108,0.815,112,239,0.469,21,58,0.362,0.5,3.2,36.4,So,Jun-00,1,2.53434,107.348,3.1,2022,70433,all,54.8,1.93478358,65,124,47,115,0.5242,0.4087,0,0,,,96.3726,94.3492,3.80723,225.235,3.21069,1.10475,2.10595,3.41857,33.0588,1.28371,2.13487,0.2353,3.8529,4.0882,7.8529,1.9118,0.1765,11.1471,Pure PG,3.03283
Samuell Williamson,Louisville,ACC,30,39.2,93,21,46,47.93,6.3,18.3,9.8,17.3,29,51,0.569,66,137,0.482,2,13,0.154,0.9,1.6,34,Jr,7-Jun,10,0.689927,97.2549,2.7,2022,70434,all,96.4,0.7742185,36,48,30,89,0.75,0.3371,10,10,1,,102.775,97.8135,1.71548,92.6989,-1.17496,-2.2008,1.02584,-0.369515,16.8667,-0.899,0.529485,0.9667,2.7,3.6667,0.8,0.4667,0.1333,5.5667,Wing F,1.52138
Gibson Jimerson,Saint Louis,A10,34,84.8,117.8,19.4,53.6,57.35,1.7,5.8,4.8,8.7,93,113,0.823,102,222,0.459,84,203,0.414,0.1,0.8,26.6,Fr,5-Jun,24,3.97987,119.182,1.4,2022,70438,all,8,0.80000001,71,110,31,112,0.6455,0.2768,1,2,0.5,,104.753,102.393,2.93966,159.834,2.46007,3.54264,-1.08257,3.56888,33.8,3.95674,-0.387862,0.5143,1.7429,2.2571,0.8,0.4857,0.0286,16.2857,Wing G,10.1017
Terrence Hargrove Jr.,Saint Louis,A10,34,53.5,97.2,17.1,48.9,49.05,5.9,15.6,4.8,17.1,11,22,0.5,61,131,0.466,32,92,0.348,1.3,0.9,9.9,So,4-Jun,22,0.712605,94.9731,2.2,2022,70439,all,35.6,0.54053539,47,88,13,42,0.5341,0.3095,21,25,0.84,,100.049,97.7952,2.19419,127.988,0.0929519,-0.443025,0.535977,0.939769,21.4857,0.545241,0.394528,1.1429,3.0286,4.1714,0.5714,0.3714,0.3429,6.7429,Wing G,7.25652
Quinn Slazinski,Iona,MAAC,33,49.2,100.9,22.9,44.6,50.16,5.5,12,12.9,16.3,63,76,0.829,53,134,0.396,36,106,0.34,1.6,1.7,31.7,Jr,9-Jun,11,1.34361,105.054,2.1,2022,70440,all,36.4,1.02325405,34,75,19,60,0.4533,0.3167,4,4,1,,99.5404,100.29,1.84818,113.533,-0.634612,0.363049,-0.997661,1.30003,19.8182,1.68492,-0.384891,0.9697,2.1515,3.1212,1.3333,0.6061,0.303,8.3939,Wing F,9.18082
Phoenix Ford,UTSA,CUSA,26,35.9,87.7,11.6,48.2,46.1,8.5,15,6.1,25.8,5,17,0.294,26,50,0.52,1,7,0.143,1.7,1.7,29.8,Sr,8-Jun,12,-0.491329,76.2123,7.3,2022,70442,all,,0.60875048,19,33,7,17,0.5758,0.4118,1,1,1,,105.733,107.198,1.08238,75.1944,-2.25669,-3.26298,1.00629,-5.19175,15.6207,-5.65287,0.461117,1.4483,1.8621,3.3103,0.4828,0.4828,0.2069,2.3793,PF/C,0.998549
Seth Pinkney,FIU,CUSA,30,42.4,106.1,11.5,62.8,60.32,8.4,19,2.6,21.6,11,26,0.423,49,76,0.645,0,2,0,7.1,0.9,33.3,So,1-Jul,44,0.328786,90.9488,4.8,2022,70444,all,,0.31825454,45,67,4,9,0.6716,0.4444,33,39,0.8462,,100.876,101.918,1.49951,104.655,-1.07214,-3.26493,2.19279,-2.24493,17.3438,-3.20581,0.960882,1.2188,2.9688,4.1875,0.2188,0.2812,1.1875,3.9688,C,0.226319
