rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
11,North Carolina,ACC,29-8,111.60060647399757,37,89.10258401921733,4,0.9301560378044972,11,29,8,14,2,14-2,0.7484315343841719,0.6384620066926383,0.7961360364274039,0.7484315343841719,0.6384620066926383,0.7961360364274039,0.6431295074047828,0.7395013366311664,109.17327754751966,96.76423169780027,109.17327754751966,96.76423169780027,112.5761050333863,88.6576008217502,127.80117258248981,101.21158517722073,0.9359871929453072,16,0.07432743970366873,1190.0,1065.0,1129.3375,1.0537151205906117,0.9430307591840348,0,0.875,7.432904417325421,7,31,71.81917924553643
12,Illinois,B10,20-14,113.8654918473307,25,90.95271154804138,15,0.9298115773008501,12,20,14,9,9,9-9,0.7579976553718657,0.5876320119174641,0.8553593934940873,0.7579976553718657,0.5876320119174641,0.8553593934940873,0.6215899132540813,0.7739638700209442,109.84468167674844,96.501274054119,109.84468167674844,96.501274054119,114.83470899646869,91.05840689287098,127.2944583206927,103.43892992830429,0.915791912403688,19,-0.09932988652583041,1233.0,1179.0,1154.0375000000001,1.0684228198823693,1.0216305795955503,0,0.5,1.5925888303365747,35,328,66.62189833028341
13,Connecticut,BE,32-9,114.70817645329888,18,92.05220983932212,23,0.9262461632910833,13,32,9,9,9,9-9,0.7445642183183713,0.5287688839393571,0.8277129173671786,0.7445642183183713,0.5287688839393571,0.8277129173671786,0.6127471418523502,0.766683608589306,108.9564147263387,96.32259328494624,108.9564147263387,96.32259328494624,109.61025001738454,93.26722824324636,119.78984849048894,95.45436324987519,0.9316007739453812,24,0.11090901248877871,1222.0,1213.0,1188.875,1.0278624750289138,1.0202922931342655,0,0.5,6.959310428699514,10,12,65.62042478285154
14,Syracuse,BE,26-8,113.91149559246776,24,91.69101981524463,21,0.9238236042983685,14,26,8,12,6,12-6,0.7242595807761607,0.5463154903497044,0.8170908088442119,0.7242595807761607,0.5463154903497044,0.8170908088442119,0.676295961076309,0.8542303746803516,107.86629780340198,97.00577345071312,107.86629780340198,97.00577345071312,114.02581300851334,92.41376995335996,120.28228049916493,93.0819760517541,0.9501759143391864,16,0.04077408099599045,1275.0,1172.0,1178.1875,1.0821707071242905,0.9947482892154262,0,0.6666666666666666,6.158028330832264,11,83,66.35172544620528
15,Louisville,BE,25-10,110.66925003845736,48,89.09407113552265,3,0.9237068907740299,15,25,10,12,6,12-6,0.6850405800182308,0.4500207541279379,0.8191798525090149,0.6850405800182308,0.4500207541279379,0.8191798525090149,0.6863796241514071,0.8763749464017027,107.44901357850085,97.94587738239117,107.44901357850085,97.94587738239117,110.96103553588583,89.21440287668491,123.85701096151776,99.61398762968291,0.9244908599781666,16,-0.017823699109652202,1264.0,1182.0,1211.3,1.0435069759762239,0.9758111120283993,0,0.6666666666666666,4.6962297153247015,17,214,68.01957083648934
16,BYU,MWC,31-5,115.99874614053164,13,93.8372251815859,40,0.9196945487770378,16,31,5,14,2,14-2,0.6690611395474596,0.6074516593619841,0.6751827316491517,0.6690611395474596,0.6074516593619841,0.6751827316491517,0.7339576148798995,0.7830676373713634,105.53316899932538,98.14620749984046,105.53316899932538,98.14620749984046,118.42527269904053,94.45200251294582,138.38245340601458,108.74211239457208,0.9411430005740512,12,0.09053715327751632,1312.0,1114.0,1145.7749999999999,1.145076476620628,0.9722676790818443,0,0.875,7.169867762197691,9,21,71.44987033641151
17,Florida,SEC,29-8,115.19452767406719,17,93.86665464269346,41,0.913298447453171,17,29,8,13,3,13-3,0.6892936916770488,0.5512159226705117,0.7462458300173582,0.6892936916770488,0.5512159226705117,0.7462458300173582,0.7024198472730196,0.7835132462666008,106.36578340814602,97.21080517196242,106.36578340814602,97.21080517196242,116.25709772553557,95.67822563043205,127.97640198468604,101.91446432468317,0.9320546741817178,14,0.057210427231019434,1161.0,1038.0,1040.0500000000002,1.1162924859381758,0.9980289409163019,0,0.8125,5.256812520398698,14,51,63.8691866079486
18,Washington,P10,24-11,117.25337627048705,9,95.6105840846075,55,0.9126649749018962,18,24,11,11,7,11-7,0.7079805103199608,0.5852327242455845,0.7501243025838344,0.7079805103199608,0.5852327242455845,0.7501243025838344,0.7172363245942789,0.8035086923909293,106.61068610598745,97.23263102425928,106.61068610598745,97.23263102425928,114.48022233058856,95.96708324908558,126.92702335083706,104.45107920486237,0.90389527635636,10,-0.055394040770321507,1430.0,1286.0,1293.5249999999999,1.105506271622118,0.9941825631510796,0,0.6111111111111112,1.8937298418668365,30,286,71.83955572096959
19,West Virginia,BE,21-12,114.4295913831775,19,93.58925756911441,37,0.9098665997469394,19,21,12,11,7,11-7,0.7688140491685135,0.6795249821774177,0.8050365660537443,0.7688140491685135,0.6795249821774177,0.8050365660537443,0.6266198708244651,0.7477839650315602,110.19171174353237,96.80026480314568,110.19171174353237,96.80026480314568,113.36305574512939,92.0997213076896,124.10196696622022,102.6480091144552,0.8986828618797357,19,-0.010572903541979817,1184.0,1127.0,1116.3124999999998,1.0606349028609823,1.0095739320306816,0,0.6111111111111112,3.0830020126204327,22,193,63.59573148338684
20,Arizona,P10,30-8,117.6313618535766,8,96.49145620314643,69,0.9070523697224379,20,30,8,14,4,14-4,0.6877256970528833,0.5222918372997569,0.7507641652881553,0.6877256970528833,0.5222918372997569,0.7507641652881553,0.7074626022349482,0.8166869856612048,107.01647087213212,97.96880111961697,107.01647087213212,97.96880111961697,115.36171466093727,96.51449287605698,115.2210010890521,97.59351746147983,0.8709597115894645,12,0.06988124555590736,1355.0,1284.0,1248.3125,1.0854653782606518,1.0285885946027136,0,0.7777777777777778,4.720757575939621,16,36,66.31172381674261
