rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
1,Villanova,BE,36-4,128.35229546548828,1,94.07101812624175,15,0.9727050978297004,1,36,4,14,4,14-4,0.7579733279219725,0.6035340746994459,0.8292982650838929,0.7579733279219725,0.6035340746994459,0.8292982650838929,0.652930643554516,0.7858560442408897,111.46006194712041,98.88827002431643,111.46006194712041,98.88827002431643,129.14643102232168,98.30037802603759,143.76314458127408,104.50405647914333,0.9751036875987389,18,0.03956252057167686,1584.0,1374.0,1299.4375000000002,1.2189889856187772,1.0573805973738635,0,0.7777777777777778,10.567891523021622,2,82,69.61100515550933
2,Virginia,ACC,31-3,114.68970960740685,30,86.78634802465497,1,0.9610587418355924,2,31,3,17,1,17-1,0.7095570787792164,0.5553346305286726,0.7940553709233809,0.7095570787792164,0.5553346305286726,0.7940553709233809,0.7003060094408889,0.8197735311851263,109.87748950826496,99.78321228920731,109.87748950826496,99.78321228920731,113.7565304807423,84.80380342668037,122.92607118765633,88.09277601104947,0.9787873114210021,12,0.07135014425784247,1154.0,955.0,1072.3375,1.0761537295860677,0.8905778264772051,0,0.9444444444444444,11.237347943269063,1,33,60.48122095469826
3,Duke,ACC,29-8,122.34651226051952,3,92.96018319830031,7,0.959257556637803,3,29,8,13,5,13-5,0.7229928027198944,0.6041194152933634,0.7798233758431583,0.7229928027198944,0.6041194152933634,0.7798233758431583,0.6808529014865432,0.7705754822391303,109.96442754668955,99.18812714319895,109.96442754668955,99.18812714319895,119.60723476818616,91.1839438162288,122.68160903205032,99.31057183856319,0.9191173818505742,14,-0.04296212769166441,1421.0,1219.0,1251.95,1.1350293542074363,0.9736810575502216,0,0.7222222222222222,6.616043262822284,9,270,70.92897436023372
4,Purdue,B10,30-7,123.22447204797686,2,95.6902942872797,34,0.9482524717035657,4,30,7,15,3,15-3,0.7018634438429212,0.541990296660651,0.7877086216431783,0.7018634438429212,0.541990296660651,0.7877086216431783,0.6868460397004063,0.7852023122378126,108.83158848815863,99.02715162059992,108.83158848815863,99.02715162059992,125.78529423458687,94.93723670174823,135.0667466454605,103.78737839411494,0.9538840893842138,14,0.015152665510410945,1379.0,1193.0,1180.6875,1.1679635805409985,1.0104282462548304,0,0.8333333333333334,7.607051212367316,6,132,68.71431238494189
5,Cincinnati,Amer,31-5,111.63608776310227,56,87.67203423250626,2,0.9415235942241451,5,31,5,16,2,16-2,0.5807958665752719,0.45946228278426926,0.6245803881693786,0.5807958665752719,0.45946228278426926,0.6245803881693786,0.77993317812646,0.807297079082774,106.47341798539917,102.92956578772655,106.47341798539917,102.92956578772655,112.95553182414213,86.63356724449245,114.66044066007143,95.0406988422884,0.8964328703345532,8,0.012234896023392783,1294.0,997.0,1147.6125,1.127558300384494,0.8687601433410668,0,0.8888888888888888,5.9256783234125034,11,142,66.18720870800482
6,Kansas,B12,31-8,122.17407960659685,4,96.32890943385573,42,0.9389633527963903,6,31,8,13,5,13-5,0.7768491909032443,0.6102228674938602,0.8516808285557812,0.7768491909032443,0.6102228674938602,0.8516808285557812,0.6328274565714986,0.8009760273586944,111.89216059020004,98.21628105232092,111.89216059020004,98.21628105232092,121.54413963476708,100.35703545968732,124.94071660159577,99.74337939297658,0.9302311049575838,21,0.06766485486965212,1396.0,1351.0,1240.7875000000001,1.125091927505717,1.0888246375789568,0,0.7222222222222222,8.153592500635552,4,39,69.90254083860421
7,Michigan,B10,33-8,114.42383326027299,34,90.35151515589209,3,0.9379827180205856,7,33,8,13,5,13-5,0.6922979536980499,0.4144181605852191,0.7993649947052468,0.6922979536980499,0.4144181605852191,0.7993649947052468,0.6659624122228257,0.8431653927514595,111.06804655717076,100.3735902596823,111.06804655717076,100.3735902596823,116.96566159837286,93.3984765481932,123.35916356072805,94.27662551367887,0.9565602437813367,18,0.06002452898042254,1280.0,1181.0,1162.875,1.1007201977856604,1.0155863699881758,0,0.7222222222222222,6.872238976815979,8,46,65.88696671833392
8,West Virginia,B12,26-11,120.84180942463846,7,95.76751196536219,35,0.9355006383563108,8,26,11,11,7,11-7,0.7093335507573175,0.44826191609260224,0.8520784208915146,0.7093335507573175,0.44826191609260224,0.8520784208915146,0.660421791967519,0.8375119739980139,109.4180218731231,98.89676452012513,109.4180218731231,98.89676452012513,121.8991319948089,95.84978296107616,133.989979262651,106.26399853639168,0.9349989725046435,19,-0.03541462451098898,1400.0,1293.0,1243.925,1.12546978314609,1.0394517354342103,0,0.6111111111111112,4.565698502683913,14,256,71.15911912506682
9,Michigan St.,B10,30-5,118.8508780651423,12,94.30654354968391,17,0.9346349640671568,9,30,5,16,2,16-2,0.6617530914337815,0.44695739093537235,0.7854688231758374,0.6617530914337815,0.44695739093537235,0.7854688231758374,0.7264247796136821,0.8405875047397205,108.42219100731583,100.6758754593193,108.42219100731583,100.6758754593193,120.82623838305494,94.66016154918859,134.79812854843118,111.35519650743407,0.8999899058550029,9,0.06346577698873834,1377.0,1191.0,1197.9375,1.1494756612928472,0.9942087963687588,0,0.8888888888888888,7.942634383312037,5,43,68.04375486216126
10,North Carolina,ACC,26-11,120.63143856030692,8,97.02208966411911,51,0.9244716581234657,10,26,11,11,7,11-7,0.7621888284958295,0.6668371301921263,0.8060574507624082,0.7621888284958295,0.6668371301921263,0.8060574507624082,0.6149608993426385,0.6949910927379193,111.31684697505753,97.73012172497329,111.31684697505753,97.73012172497329,123.34775768135404,100.96950212484893,125.28617976073666,99.32365996266842,0.9352628633003733,22,0.034679782273918325,1452.0,1360.0,1254.45,1.157479373430587,1.0841404599625333,0,0.6111111111111112,7.094629009684518,7,89,72.6017653172442
11,Tennessee,SEC,26-9,114.21765542946832,36,92.06805893919903,6,0.9226668014038102,11,26,9,13,5,13-5,0.7458049355197494,0.6453293813567647,0.7983103339403782,0.7458049355197494,0.6453293813567647,0.7983103339403782,0.6735797500916959,0.7106431681429476,111.0083187222122,99.46282512652053,111.0083187222122,99.46282512652053,114.78050442603863,94.73394287632968,122.15512035162097,101.21765610334042,0.8968045167095061,15,0.019887794691604177,1310.0,1220.0,1206.075,1.08616794146301,1.0115457164770019,0,0.7222222222222222,6.38143297715923,10,122,67.12059597787935
12,Xavier,BE,29-6,120.87388680653144,6,97.65731425509927,59,0.9207628057589415,12,29,6,15,3,15-3,0.7239386984001647,0.5779157871131677,0.8352782466112448,0.7239386984001647,0.5779157871131677,0.8352782466112448,0.685851328964996,0.82356678517459,110.23624684529841,99.26253356520782,110.23624684529841,99.26253356520782,120.50202066974086,97.74382955324532,138.16453727372505,109.15170187178877,0.9376507492922401,12,0.10139260534690064,1491.0,1415.0,1322.4624999999999,1.127442176999348,1.069973628741836,0,0.8333333333333334,8.760866274628242,3,10,71.67752010304874
13,Gonzaga,WCC,32-5,117.2537405160459,15,94.86796563303957,21,0.9195555464556567,13,32,5,17,1,17-1,0.5518011156060917,0.5728839542611122,0.49227134422972285,0.5518011156060917,0.5728839542611122,0.49227134422972285,0.7915683588457345,0.7231976496449277,106.36114707852556,103.53203554072431,106.36114707852556,103.53203554072431,117.51050414887123,94.37701082807963,137.455803034372,107.89777177100501,0.9418247623327992,9,0.045271622958161784,1456.0,1128.0,1211.0249999999999,1.2022873185937533,0.9314423731962594,0,0.9444444444444444,4.837035386152786,12,69,70.54714407370453
