rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
1,Duke,ACC,35-5,120.7818648287514,1,87.76172594170805,6,0.9752205183927571,1,35,5,13,3,13-3,0.7483077308680086,0.597175690163683,0.8477032173633836,0.7483077308680086,0.597175690163683,0.8477032173633836,0.6452627246156919,0.7644323119555541,107.11135644663474,95.28486737790578,107.11135644663474,95.28486737790578,119.89513666666016,87.8677719771808,130.92012703720226,95.01316584488974,0.9755549185077639,18,0.012037727666265985,1176.0,991.0,1053.5375000000001,1.1162393365210064,0.940640461302991,0,0.8125,8.418349951547643,3,138,66.27469688167938
2,Kansas,B12,33-3,119.99796747839875,2,89.60825271995044,11,0.9663760652928867,2,33,3,15,1,15-1,0.7197961320976342,0.5686190956346252,0.8344500901889603,0.7197961320976342,0.5686190956346252,0.8344500901889603,0.661577552672224,0.7867414326341732,107.70017052409123,97.2415431188918,107.70017052409123,97.2415431188918,122.501898638147,89.74591840464504,131.98030132461813,96.54735563436742,0.9732763515785565,14,0.08686190268125427,1273.0,1074.0,1102.5375000000001,1.1546092536535038,0.9741165266487534,0,0.9375,11.705295092909763,1,17,68.50881079282334
3,Syracuse,BE,30-5,117.54519513003373,6,90.03900780493058,13,0.9554541967300572,3,30,5,15,3,15-3,0.6965535788470875,0.49043395081099705,0.8188604930612277,0.6965535788470875,0.49043395081099705,0.8188604930612277,0.695779355689484,0.8349977568581806,107.80549042235856,98.37386766431912,107.80549042235856,98.37386766431912,115.83577810668862,90.5289847809631,124.68230889571483,95.1892067068365,0.9570524152667653,15,0.03394916133556314,1389.0,1243.0,1254.2500000000002,1.1074347219453855,0.9910304963125371,0,0.8333333333333334,7.574189243504734,5,85,70.9964212519019
4,Kentucky,SEC,35-3,114.49149299884405,20,87.73209505805775,5,0.9552741339218102,4,35,3,14,2,14-2,0.6898933972325085,0.5228050303047976,0.7908972451361882,0.6898933972325085,0.5228050303047976,0.7908972451361882,0.7363906440604903,0.8759262120785306,106.11876640685838,97.7489801392474,106.11876640685838,97.7489801392474,113.95184465176786,87.82484039145156,110.84404425098161,87.66262067021101,0.9369220654825337,8,0.0670969953250129,1230.0,1069.0,1136.4625,1.082305839391973,0.9406381644796902,0,0.875,8.651139701361,2,37,69.58647432418357
5,Ohio St.,B10,29-8,117.03316001559784,8,91.32958957620656,23,0.9454115801442126,5,29,8,14,4,14-4,0.6755184540411928,0.4877769587237944,0.7633322969795148,0.6755184540411928,0.4877769587237944,0.7633322969795148,0.6801784470483391,0.7668616749312113,105.61302818732209,97.28016876901836,105.61302818732209,97.28016876901836,114.49468232438136,90.35771180820367,125.76897248331186,96.22891922505374,0.9560073302369726,15,0.008919865845817498,1233.0,1089.0,1138.2625,1.0832299227990028,0.9567213186764916,0,0.7777777777777778,5.6729758173191325,8,151,66.03879476892595
6,Kansas St.,B12,28-8,115.93105802963228,13,90.52413366733467,18,0.9450524231759658,6,28,8,11,5,11-5,0.7570403856849013,0.592951535021679,0.8443490607289068,0.7570403856849013,0.592951535021679,0.8443490607289068,0.6276736342599515,0.7827580701330478,109.0840162112825,95.95622292586498,109.0840162112825,95.95622292586498,112.91217773977375,89.42765432867589,131.97925356174167,99.68943885621094,0.9618277833956331,18,0.041032268709339514,1228.0,1132.0,1158.8374999999999,1.0596826561101105,0.9768410152415676,0,0.6875,6.756407326365449,6,72,70.45418060871563
7,West Virginia,BE,31-7,116.62293197205868,10,91.38002795008327,24,0.9429490930933834,7,31,7,13,5,13-5,0.7699001663669253,0.6311802020765789,0.8244517257546516,0.7699001663669253,0.6311802020765789,0.8244517257546516,0.6229665394859788,0.734974351531239,109.44298067986976,96.14038654755676,109.44298067986976,96.14038654755676,117.78007091548581,92.52470286825834,125.86711225054331,100.85116397330071,0.9274511581200353,20,0.08495952401527918,1353.0,1213.0,1204.4875,1.1232993285526003,1.0070673211635655,0,0.7222222222222222,8.057559629669584,4,19,63.56818511616277
8,Baylor,B12,27-8,119.4225904896814,4,93.84542177670303,48,0.9411285308844415,8,27,8,11,5,11-5,0.720006087537052,0.4879954381835843,0.8479306260690211,0.720006087537052,0.4879954381835843,0.8479306260690211,0.6424890271161608,0.809316818677837,107.55022498936694,96.66011077472878,107.55022498936694,96.66011077472878,120.7773630932341,95.7260337992604,133.06354290183373,101.07464091539241,0.9593838876358798,16,0.03494332625657803,1229.0,1124.0,1080.8625000000002,1.1370548982872473,1.0399102568550578,0,0.6875,5.580313251951918,9,82,65.59905660802075
9,Wisconsin,B10,24-9,115.07617576725809,18,90.66812415954047,19,0.939429637916611,9,24,9,13,5,13-5,0.7069920856692067,0.5744987927699359,0.7775259494444503,0.7069920856692067,0.5744987927699359,0.7775259494444503,0.6793907427937418,0.7681853718703865,107.59453542010296,97.58480876525199,107.59453542010296,97.58480876525199,116.61068942807084,88.52036695656386,149.975553799584,114.5295619134227,0.9569278895176824,12,-0.036367121540270775,1156.0,983.0,1043.375,1.1079429735234216,0.9421348987660237,0,0.7222222222222222,3.863502973179705,19,252,60.351331249640765
10,Purdue,B10,29-6,108.29166054424243,68,86.26276800138427,3,0.9318490526590343,10,29,6,14,4,14-4,0.7003512370555717,0.5199372780550865,0.7739868742611342,0.7003512370555717,0.5199372780550865,0.7739868742611342,0.675972716559421,0.8239624955817025,107.55159194655522,97.3636977578975,107.55159194655522,97.3636977578975,111.78117164804254,88.01334214079418,123.83884460247329,98.29581847624891,0.9344101986521269,15,0.08864239589428502,1214.0,1098.0,1151.3999999999999,1.0543685947542123,0.9536216779572695,0,0.7777777777777778,6.578354547393591,7,16,67.4965645886172
